source_index,source_name,source_hebrew,source_scope,variant_label,hebrew_variant,note,standard,mispar_gadol,base12_standard,base12_mispar_gadol,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base12_palindrome,mispar_base12_palindrome,final_letter_notes,interesting_hits,gained_against_original,lost_against_original
23,Elohei HaShamayim,אלהי השמים,literal-heading,add_ha_first_word,האלהי השמים,mechanical addition of definite article to first word,446,1006,312,6BA,5,7,6,9,no,no,,,,mg-base10-palindrome; std-base12-collapse-12
24,Elohei HaAretz,אלהי הארץ,literal-heading,original,אלהי הארץ,paper heading,342,1152,246,800,9,9,12,8,no,no,,mg-base12-collapse-8; std-base12-collapse-12,,
24,Elohei HaAretz,אלהי הארץ,literal-heading,add_ha_first_word,האלהי הארץ,mechanical addition of definite article to first word,347,1157,24B,805,5,5,8,4,no,no,,std-base12-collapse-8,std-base12-collapse-8,mg-base12-collapse-8; std-base12-collapse-12
25,El Shaddai,אל שדי,literal-heading,original,אל שדי,paper heading,345,345,249,249,12,12,6,6,no,no,,mg-collapse-12; mg-constant-345:El-Shaddai/Moses; std-collapse-12; std-constant-345:El-Shaddai/Moses,,
25,El Shaddai,אל שדי,literal-heading,remove_initial_el,שדי,mechanical removal of initial El,314,314,222,222,8,8,6,6,yes,yes,,mg-base12-palindrome; mg-collapse-8; mg-constant-314:Shaddai; mg-outer-2-frame:222; std-base12-palindrome; std-collapse-8; std-constant-314:Shaddai; std-outer-2-frame:222,mg-base12-palindrome; mg-collapse-8; mg-constant-314:Shaddai; mg-outer-2-frame:222; std-base12-palindrome; std-collapse-8; std-constant-314:Shaddai; std-outer-2-frame:222,mg-collapse-12; mg-constant-345:El-Shaddai/Moses; std-collapse-12; std-constant-345:El-Shaddai/Moses
25,El Shaddai,אל שדי,literal-heading,add_ha_after_el,אל השדי,mechanical addition of definite article after El,350,350,252,252,8,8,9,9,yes,yes,,mg-base12-palindrome; mg-collapse-8; mg-outer-2-frame:252; std-base12-palindrome; std-collapse-8; std-outer-2-frame:252,mg-base12-palindrome; mg-collapse-8; mg-outer-2-frame:252; std-base12-palindrome; std-collapse-8; std-outer-2-frame:252,mg-collapse-12; mg-constant-345:El-Shaddai/Moses; std-collapse-12; std-constant-345:El-Shaddai/Moses
26,El Kana,אל קנא,literal-heading,original,אל קנא,paper heading,182,182,132,132,11,11,6,6,no,no,,,,
26,El Kana,אל קנא,literal-heading,remove_initial_el,קנא,mechanical removal of initial El,151,151,107,107,7,7,8,8,no,no,,mg-base10-palindrome; mg-base12-collapse-8; std-base10-palindrome; std-base12-collapse-8,mg-base10-palindrome; mg-base12-collapse-8; std-base10-palindrome; std-base12-collapse-8,
26,El Kana,אל קנא,literal-heading,add_ha_after_el,אל הקנא,mechanical addition of definite article after El,187,187,137,137,7,7,11,11,no,no,,,,
27,El De’ot,אל דעות,literal-heading,original,אל דעות,paper heading,511,511,367,367,7,7,7,7,no,no,,,,
27,El De’ot,אל דעות,literal-heading,remove_initial_el,דעות,mechanical removal of initial El,480,480,340,340,12,12,7,7,no,no,,mg-collapse-12; std-collapse-12,mg-collapse-12; std-collapse-12,
27,El De’ot,אל דעות,literal-heading,add_ha_after_el,אל הדעות,mechanical addition of definite article after El,516,516,370,370,12,12,10,10,no,no,,mg-collapse-12; std-collapse-12,mg-collapse-12; std-collapse-12,
28,El Berit,אל ברית,literal-heading,original,אל ברית,paper heading,643,643,457,457,4,4,7,7,no,no,,,,
28,El Berit,אל ברית,literal-heading,remove_initial_el,ברית,mechanical removal of initial El,612,612,430,430,9,9,7,7,no,no,,,,
28,El Berit,אל ברית,literal-heading,add_ha_after_el,אל הברית,mechanical addition of definite article after El,648,648,460,460,9,9,10,10,no,no,,,,
